name,city,iata_code,icao,latitude,longitude,url,city_code,country,state,county
Glentanner,,GTN,NZGT,-43.766666,170.13611,,MON,NZ,,
Tolotio Airport,Isimu,GTO,WAMG,0.639039,122.850876,,GTO,ID,Gorontalo,
Grants Pass,Merlin,GTP,KSXT,42.5101682,-123.3885181,,GTP,US,Oregon,Josephine County
Golden Triangle Regional Airport,West Point,GTR,KGTR,33.4502,-88.5903986,,UBS,US,Mississippi,Clay County
Granites,,GTS,YTGT,-26.966667,133.61667,,GTS,AU,,
Georgetown Airport,Georgetown,GTT,YGTN,-18.416668,143.78334,,GTT,AU,Queensland,
Holesov,Otrokovice,GTW,LKHO,49.2,17.516666,,GTW,CZ,Zlin,
Gettysburg,Gettysburg,GTY,W05,39.833332,-77.23333,http://flygra.com/,GTY,US,Pennsylvania,Adams County
Kirawira B,Issenye,GTZ,HTGR,-2.160833,34.225555,,GTZ,TZ,Mara,
La Aurora International Airport,Santa Catarina Pinula,GUA,MGGT,14.58331705,-90.52716040808703,,GUA,GT,Guatemala,
Guerrero Negro,San Luis,GUB,MMGR,28.02557195,-114.02220983499515,,GUB,MX,Baja California,
Gunnison Airport,Gunnison,GUC,KGUC,38.5323609,-106.93982729134346,,GUC,US,Colorado,Gunnison County
Goundam,Goundam,GUD,GAGM,16.3625833,-3.5990064,,GUD,ML,Tombouctou,
Guriaso,,GUE,,-3.58032505,141.59136896882455,,GUE,PG,,
Edwards,Orange Beach,GUF,KJKA,30.166668,-87.583336,http://www.jka.us.com/,GUF,US,Alabama,Baldwin County
Guari,,GUG,AYGF,-8.516667,146.9,,GUG,PG,,
Gunnedah,Gunnedah,GUH,YGDH,-30.95742505,150.24905249486724,,GUH,AU,New South Wales,Gunnedah
Guiria,Gueiria,GUI,SVGI,10.5764238,-62.31121093515691,,GUI,VE,Sucre,Municipio Valdez
Guaratingueta,Guaratingueta,GUJ,SBGW,-22.791205050000002,-45.20482610775648,,GUJ,BR,Sao Paulo,Guaratingueta
